Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1917,51.2,55.3,56.7,57.9,58.7,68.6,72.3,70,70.9,68.3,63.7,62.9
1918,55.7,56,59.1,61.6,61.3,69.7,69.9,71.7,72.2,71,60.8,57.2
1919,60.2,53.7,55.6,60.8,61.6,68.7,71,70.3,68.3,63.8,61.5,58.9
1920,56.6,57.6,56.8,58.8,62.1,65.8,71.3,72.4,68.4,63.2,60.1,55.8
1921,54.1,57.4,59.4,59.1,58.8,65.7,71.7,70.6,69.3,66.7,63.3,60.2
1922,53.4,54,55.6,57.7,62.6,67.7,69.5,73.3,73.1,65.4,59.8,58.3
1923,58.1,56.7,60.9,58.4,64.6,63.6,70,69.6,70.4,66.9,66.5,58.8
1924,58.5,62.6,56.4,60.4,64.8,68.2,69.4,69.1,70,62.6,64.1,55.5
1925,57.6,57.7,58.9,60,62.9,67.4,72.3,69.9,69.2,65.1,62.4,63.3
1926,59.4,61.3,63.1,63.4,65.3,67.3,69.9,72.6,68,67.6,67,56.1
1927,57.2,56.6,57.4,59.5,63.9,65,72.1,70.3,68.4,67.4,65.8,56.3
1928,61.5,60.1,60.6,62.3,64.2,65.4,69.2,70.1,71,63.7,63.2,58.9
1929,55.2,54.4,57.3,57.4,65,68.5,72.1,75.8,70.2,70.1,65.9,63.7
1930,56,59.4,60.8,63.6,61.8,67.6,72.8,73.9,67.9,68.7,66.2,60.1
1931,60.2,60.7,66,65.9,67.5,70.5,77.2,76.1,71.5,68.7,58.7,54.9
1932,53.3,56.5,62.1,62.7,63.6,66.2,69.1,69.5,68.3,67.3,68.9,55.2
1933,54.4,56.1,59.7,59.1,60.4,65,69.4,70,64.6,66.7,66.5,57.4
1934,60.4,59.5,65.5,64.6,67.5,65.3,72.3,71.1,72.7,67.5,62.7,60.7
1935,57,60,55.3,60.7,62,66.4,70.7,74,69.9,66.9,60.8,59.4
1936,59.4,56.5,59,60.7,65.6,68.9,74.1,73.4,70.5,67.4,67.7,58.6
1937,47.8,55.4,58.5,62.3,64,67.8,71.3,71.6,72.4,67.6,61.7,61.9
1938,61.2,56.7,57.7,61.6,63.3,65.2,69.5,73.9,74.1,66.7,62.7,62.3
1939,57,54.1,56.8,63.1,63.7,66.9,70.7,73,76.7,71.6,67.1,64
1940,59.8,59.3,61.2,63.5,66,66,70.7,70.5,69.7,68.3,63.4,61.3
1941,57.6,58.8,60.5,59.1,67.9,66,70.7,71.1,68,66,65.3,57
1942,58.7,55.7,58.8,59.4,62.8,65.9,71.7,71,67.8,67.6,63.5,58.8
1943,57.7,60.1,58.8,61.4,65.5,66.4,70.7,71.3,70.7,66.6,64.9,56.8
1944,57.2,53.6,59.6,58.9,62.4,63.4,66.6,71.3,69.3,64.7,59,60
1945,56.5,56.7,54.4,59.4,61.9,64.5,70.9,73.3,73.2,67.1,61.7,57.2
1946,57.8,54.8,57.5,62,61.1,68.7,71.8,72.3,73.1,64.5,58.8,56.4
1947,55.9,59.8,60.4,62.6,64.1,66.9,73,71.3,72.3,66.3,59,57.2
1948,58.6,54.6,55.2,60.5,63.9,66.9,70.9,71.2,71.5,66.3,62.1,53.4
1949,46.9,52.7,56,63.8,64.3,69.7,71.8,73.7,72.9,66.1,67.2,55.6
1950,50.4,56.6,58.7,62.7,62.2,66.5,73.3,70.9,68.8,69.5,63.7,62.1
1951,55.7,56.4,60.2,60.4,63.1,66.7,72.8,71.3,71,68.8,61.9,54.3
1952,52.8,58.8,55.3,61.1,66.7,65.7,72.3,74,74.3,67,59.1,56.1
1953,60.6,58.8,58.9,58.7,63.9,66.8,74.9,70.6,70.2,69.1,63.6,59
1954,55.5,64,57,60.9,63.8,67.5,76.6,73.1,72.4,65.7,64.3,58.1
1955,53.6,57,61.2,61.3,63,66.7,70.5,75.2,74.5,64.2,61.1,55.9
1956,56,53.1,60.5,58.7,64.3,69.8,71.7,71.9,76.4,66.5,67.2,60.5
1957,54.2,60.7,61.5,61.7,64.2,72.5,76,76.2,72.2,67.1,60.7,61.7
1958,59.5,60.3,56.9,65.4,68,71,72.8,75.2,75.8,74,63.3,62
1959,60,56.3,64.7,66.2,65,71.5,77.8,75.5,73.4,70.1,66.6,60.6
1960,54.6,57,62,65.3,67.7,70.1,75.5,73.1,75.5,68,60.3,58.7
1961,61.9,61,60.1,64,63.3,68.8,74.2,74.3,70.9,67.9,60.1,56.9
1962,57.5,53.8,55.2,64.3,62.9,66.3,70.1,74,70.8,65.7,60.6,57.4
1963,55.6,62.7,58.3,59.6,64.1,66.3,72,73.7,77.2,69.1,62.2,60.6
1964,56.7,59,58.6,60.5,61.7,64.8,72,73.3,70.1,70.5,59.8,56.4
1965,58.2,57.9,59,61.7,63.4,64.1,70,75.6,69.6,73.1,62,56.9
1966,55.7,56.2,61.3,64.3,64.5,70.2,74.3,76.6,73.4,71.2,63.6,60.6
