Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1917,51.6,54.7,54.6,57,58.4,63.7,68.9,68.6,68.2,64.7,60.8,58.6
1918,54.5,55.1,58.5,60.4,60.8,66.8,68,69.9,70.5,68.1,59.8,54.8
1919,56.6,53.6,55,59.2,61,66.1,68.6,68.3,66.5,62,58.6,56.5
1920,54.6,56.8,55.6,57.6,59.8,63.7,67,70.5,66.2,61.5,58.2,54.8
1921,53.5,55.2,57.5,57.4,58.5,63.1,68.4,68.2,66.8,64.5,60.5,59.3
1922,52.5,53.7,54.6,56.3,60.3,64.3,67.7,70.7,70,64,57.9,58
1923,56.3,55.2,58.4,59,63.2,62.3,67,67.8,68.2,64.4,63.9,57.5
1924,55.3,58.9,56.6,59.3,63,65.5,67,67,66.4,60.5,60.1,54
1925,54.5,56.6,57.2,58.6,62.3,64.6,70.3,68.8,66.6,63.6,60.8,60.3
1926,56.7,59.7,62.4,63.4,63.8,66.3,67.6,69.3,66,64.1,63.9,55.1
1927,55.4,56.4,56.5,58.2,61.5,63.3,69.1,68.9,66.5,64.6,63.3,56
1928,57.8,57.5,59.4,59.5,63,64,66.5,67.2,66.2,62.2,60.3,55.9
1929,54.4,53.2,55.6,57.5,62.7,65.2,69.5,72,68.2,66.7,62.1,60.3
1930,55.9,57.9,59.7,62,60,64.6,69.6,70.3,66.9,64.8,63,57.1
1931,57.7,59.2,61.9,63.8,66.2,68.7,73.6,73.8,69.7,66.6,57.3,53.8
1932,52.2,55.5,59,60.2,61.8,63.8,65.6,66,65.6,63.2,64.2,54.2
1933,52.8,52.7,57,57.7,58.1,61.6,65.5,66.6,62.7,62.3,61.5,55.1
1934,56.1,58.3,61.8,62.2,64.7,64,69,69,69.7,64.9,61.2,59.1
1935,56,57.4,54.5,59.9,61.5,63.4,67.9,70.5,67.3,64.1,58,57.4
1936,56.5,56.3,57.4,58.2,63.3,65.3,70.5,71.3,68.1,65,63.7,58.1
1937,49.3,54.4,56.6,59.7,62.1,64.9,68.4,68.7,69.4,64.6,60.1,60.3
1938,58.5,57.2,57.2,59.9,61.5,63.2,66.8,69.5,70.4,63.6,59.2,59.6
1939,55.5,52.4,55.1,61,62.3,64.8,69.1,71,73.2,67.4,62.7,60.4
1940,58.1,57.9,60.3,62.6,64.8,65.2,68.4,69.1,68.7,66.5,61.1,60.8
1941,57.6,59.9,62,60.9,67.2,66.5,69.4,70.8,68,65.5,63.4,57.5
1942,57.7,55.6,57.9,60.2,63.3,64.9,69.6,70.1,67.8,65.9,61,57.5
1943,56.9,59.7,60,61.1,65,65.2,69.1,71.2,68.7,65.7,61.7,57.8
1944,56.3,54.6,58.7,59.5,62.8,64.2,66.7,69.3,66.9,64.6,59.8,58.2
1945,55.3,56.8,55.8,58.4,62.6,65,69,71.9,71.4,67.4,60,57.3
1946,56.1,54.4,57.1,62.4,63.7,68,70.8,72.4,71.1,64.2,58.2,57.1
1947,53.5,58.5,60.8,63,63.9,66.7,69.5,70.9,71.1,66.5,58.4,55.8
1948,55.7,54.1,55.9,61.2,62.5,64.6,67,68.3,68.3,64.1,60,53.6
1949,47.8,52.7,56.2,61.3,63,67.2,69.3,70.2,70,64.3,64.7,54.9
1950,52,55.6,58.2,60.6,61.1,64.1,69.6,68.2,67.4,66.8,62.5,59.7
1951,55.6,55.6,58.7,60.7,62.1,65.7,69.3,69,67.8,66.7,61.5,55.5
1952,54.4,57.8,55.9,59.7,64.1,63.9,68.2,70.2,70.4,65.1,59.6,56.4
